image name,xmin,xmax,ymin,ymax,labels
./datasets/images/maksssksksss0.png,79,146,109,197,1
./datasets/images/maksssksksss0.png,184,139,225,201,0
./datasets/images/maksssksksss0.png,324,125,359,196,1
./datasets/images/maksssksksss1.png,410,109,452,224,0
./datasets/images/maksssksksss1.png,286,123,333,237,0
./datasets/images/maksssksksss1.png,382,188,403,264,0
./datasets/images/maksssksksss1.png,182,241,222,375,0
./datasets/images/maksssksksss1.png,94,226,120,324,0
./datasets/images/maksssksksss1.png,244,219,282,305,0
./datasets/images/maksssksksss1.png,26,239,55,305,0
./datasets/images/maksssksksss1.png,471,228,508,323,0
./datasets/images/maksssksksss1.png,106,182,142,290,1
./datasets/images/maksssksksss10.png,166,341,329,490,0
./datasets/images/maksssksksss100.png,241,67,313,199,0
./datasets/images/maksssksksss100.png,494,121,511,168,0
./datasets/images/maksssksksss100.png,150,195,208,284,0
./datasets/images/maksssksksss101.png,81,376,278,512,0
./datasets/images/maksssksksss102.png,270,128,320,240,0
./datasets/images/maksssksksss103.png,53,92,120,187,0
./datasets/images/maksssksksss103.png,240,78,302,180,0
./datasets/images/maksssksksss103.png,334,150,387,221,0
./datasets/images/maksssksksss103.png,471,190,512,256,0
./datasets/images/maksssksksss104.png,53,208,84,267,1
./datasets/images/maksssksksss104.png,2,201,28,239,1
./datasets/images/maksssksksss104.png,38,167,58,200,1
./datasets/images/maksssksksss104.png,169,207,222,291,0
./datasets/images/maksssksksss104.png,282,193,327,266,0
./datasets/images/maksssksksss104.png,388,250,423,302,1
./datasets/images/maksssksksss104.png,105,162,122,183,1
./datasets/images/maksssksksss104.png,213,173,229,206,1
./datasets/images/maksssksksss105.png,227,273,272,386,0
./datasets/images/maksssksksss105.png,358,197,399,278,0
./datasets/images/maksssksksss105.png,409,151,450,228,0
./datasets/images/maksssksksss105.png,466,100,498,160,0
./datasets/images/maksssksksss105.png,311,68,341,127,0
./datasets/images/maksssksksss105.png,146,90,186,166,0
./datasets/images/maksssksksss105.png,42,167,83,250,0
./datasets/images/maksssksksss105.png,37,386,83,507,0
./datasets/images/maksssksksss105.png,33,65,66,126,0
./datasets/images/maksssksksss106.png,130,65,360,501,0
./datasets/images/maksssksksss107.png,204,245,359,399,0
./datasets/images/maksssksksss108.png,197,65,229,116,0
./datasets/images/maksssksksss108.png,263,78,291,130,0
./datasets/images/maksssksksss108.png,424,152,442,184,0
./datasets/images/maksssksksss108.png,463,154,481,186,0
./datasets/images/maksssksksss108.png,341,162,355,187,1
./datasets/images/maksssksksss109.png,276,117,476,320,0
./datasets/images/maksssksksss11.png,29,218,98,329,1
./datasets/images/maksssksksss11.png,187,301,255,404,0
./datasets/images/maksssksksss11.png,256,365,293,447,0
./datasets/images/maksssksksss11.png,311,367,375,472,0
./datasets/images/maksssksksss11.png,394,349,442,429,0
./datasets/images/maksssksksss11.png,318,207,352,268,0
./datasets/images/maksssksksss11.png,352,188,387,244,0
./datasets/images/maksssksksss11.png,248,171,273,215,0
./datasets/images/maksssksksss11.png,273,144,302,188,0
./datasets/images/maksssksksss11.png,296,94,315,127,0
./datasets/images/maksssksksss11.png,339,86,359,116,0
./datasets/images/maksssksksss11.png,264,90,283,120,0
./datasets/images/maksssksksss11.png,290,69,305,92,0
./datasets/images/maksssksksss11.png,323,63,341,86,0
./datasets/images/maksssksksss11.png,371,59,389,78,0
./datasets/images/maksssksksss11.png,463,61,476,76,0
./datasets/images/maksssksksss110.png,7,211,54,282,1
./datasets/images/maksssksksss110.png,27,38,62,88,1
./datasets/images/maksssksksss110.png,61,22,89,69,0
./datasets/images/maksssksksss110.png,144,0,173,45,0
./datasets/images/maksssksksss110.png,99,31,135,87,1
./datasets/images/maksssksksss110.png,124,126,147,164,1
./datasets/images/maksssksksss110.png,89,212,133,278,1
./datasets/images/maksssksksss110.png,53,300,108,355,1
./datasets/images/maksssksksss110.png,75,392,142,505,0
./datasets/images/maksssksksss110.png,148,296,220,378,1
./datasets/images/maksssksksss110.png,142,162,190,225,1
./datasets/images/maksssksksss110.png,158,51,195,90,1
./datasets/images/maksssksksss110.png,208,55,241,101,1
./datasets/images/maksssksksss110.png,237,34,274,84,0
./datasets/images/maksssksksss110.png,227,147,273,212,0
./datasets/images/maksssksksss110.png,275,108,307,160,1
./datasets/images/maksssksksss110.png,302,27,342,87,1
./datasets/images/maksssksksss110.png,359,35,393,75,1
./datasets/images/maksssksksss110.png,365,115,397,161,1
./datasets/images/maksssksksss110.png,323,179,375,257,0
./datasets/images/maksssksksss110.png,301,308,348,373,1
./datasets/images/maksssksksss110.png,360,372,412,444,0
./datasets/images/maksssksksss110.png,401,219,448,290,0
./datasets/images/maksssksksss110.png,428,50,459,98,1
./datasets/images/maksssksksss110.png,487,26,513,65,1
./datasets/images/maksssksksss110.png,455,138,492,187,0
./datasets/images/maksssksksss111.png,21,347,44,385,0
./datasets/images/maksssksksss111.png,21,192,32,220,0
./datasets/images/maksssksksss111.png,60,186,77,214,0
./datasets/images/maksssksksss111.png,21,241,34,274,1
./datasets/images/maksssksksss111.png,5,253,17,289,1
./datasets/images/maksssksksss111.png,138,111,168,155,0
./datasets/images/maksssksksss111.png,178,121,205,161,0
./datasets/images/maksssksksss111.png,234,128,264,176,0
./datasets/images/maksssksksss111.png,316,139,341,181,0
./datasets/images/maksssksksss111.png,371,123,401,170,0
./datasets/images/maksssksksss111.png,490,183,508,210,0
./datasets/images/maksssksksss111.png,489,238,508,277,1
./datasets/images/maksssksksss112.png,172,106,264,167,0
./datasets/images/maksssksksss113.png,169,207,188,237,0
./datasets/images/maksssksksss113.png,259,224,273,251,0
./datasets/images/maksssksksss113.png,376,219,394,248,0
./datasets/images/maksssksksss113.png,291,227,307,256,1
./datasets/images/maksssksksss114.png,4,188,95,366,1
./datasets/images/maksssksksss114.png,101,130,195,319,0
./datasets/images/maksssksksss115.png,30,128,59,174,0
./datasets/images/maksssksksss115.png,101,173,131,213,0
./datasets/images/maksssksksss115.png,138,152,163,192,0
./datasets/images/maksssksksss115.png,175,168,203,210,0
./datasets/images/maksssksksss115.png,229,204,262,256,0
